20499.070.000.00.  ;GYPSO TINGIDA LARANJA DECORADO 070      
00501.070.000.00.10;GOIVO DOBRADO PINK 070                  
00501.060.000.00.10;GOIVO DOBRADO PINK 060                  
00501.050.000.00.10;GOIVO DOBRADO PINK 050                  
01125.007.000.53.70;PHAL MINI P07 3 HT PREMIUM              
01125.007.001.53.70;PHAL MINI P07 BRANCO 3 HT PREMIUM       
21410.070.000.00.00;RAINHA MARGARIDA ALPHA LIGHT BLUE 070   
21410.060.000.00.00;RAINHA MARGARIDA ALPHA LIGHT BLUE 060   
21410.050.000.00.00;RAINHA MARGARIDA ALPHA LIGHT BLUE 050   
21408.070.000.00.15;RAINHA MARGARIDA NINA 070 CM VARIAD     
21408.060.000.00.15;RAINHA MARGARIDA NINA 060 CM VARIAD     
21408.050.000.00.15;RAINHA MARGARIDA NINA 050 CM VARIAD     
21408.040.000.00.15;RAINHA MARGARIDA NINA 040 CM VARIAD     
21407.070.000.00.00;RAINHA MARGARIDA NINA WHITE 070 CM      
21407.060.000.00.00;RAINHA MARGARIDA NINA WHITE 060 CM      
21407.050.000.00.00;RAINHA MARGARIDA NINA WHITE 050 CM      
21407.040.000.00.00;RAINHA MARGARIDA NINA WHITE 040 CM      
21406.070.000.00.00;RAINHA MARGARIDA NINA RED 070 CM        
21406.060.000.00.00;RAINHA MARGARIDA NINA RED 060 CM        
21406.050.000.00.00;RAINHA MARGARIDA NINA RED 050 CM        
21406.040.000.00.00;RAINHA MARGARIDA NINA RED 040 CM        
21405.070.000.00.00;RAINHA MARGARIDA NINA PURPLE 070 CM     
21405.060.000.00.00;RAINHA MARGARIDA NINA PURPLE 060 CM     
21405.050.000.00.00;RAINHA MARGARIDA NINA PURPLE 050 CM     
21405.040.000.00.00;RAINHA MARGARIDA NINA PURPLE 040 CM     
20558.221.000.00.15;DIPLADENIA PICOLI C21 VARIADO           
21432.070.000.00.00;BOUVARDIA ELEGANCE DOUBLE ROSE 070      
21433.070.000.00.00;BOUVARDIA ELEGANCE DOUBLE BIANCA 070    
21433.060.000.00.00;BOUVARDIA ELEGANCE DOUBLE BIANCA 060    
21433.050.000.00.00;BOUVARDIA ELEGANCE DOUBLE BIANCA 050    
21433.040.000.00.00;BOUVARDIA ELEGANCE DOUBLE BIANCA 040    
21432.060.000.00.00;BOUVARDIA ELEGANCE DOUBLE ROSE 060      
21432.050.000.00.00;BOUVARDIA ELEGANCE DOUBLE ROSE 050      
21432.040.000.00.00;BOUVARDIA ELEGANCE DOUBLE ROSE 040      
07874.009.000.00.70;ANTHURIUM VANILLA P09 PREMIUM           
07599.009.000.00.70;ANTHURIUM LILLI P09 PREMIUM             
03055.030.000.00.99;FICUS VARIADO P30                       
07960.014.000.00.31;SPATHIPHYLLUM P14 DOMINO SEM FLOR       
  079.600.140.00.00;SPATHIPHYLLUM DOMINO P14 SEM F          
01258.012.000.00.00;ANTHURIUM CLARINERVIUM P12              
03222.012.000.00.00;PEPEROMIA P12 VARIADO                   
03678.070.000.00.00;RAINHA MARGARIDA BLUE 070 CM            
03678.040.000.00.00;RAINHA MARGARIDA BLUE 040 CM            
03683.070.000.00.00;RAINHA MARGARIDA BONITA WHITE 070 C     
03683.060.000.00.00;RAINHA MARGARIDA BONITA WHITE 060 C     
03683.050.000.00.00;RAINHA MARGARIDA BONITA WHITE 050 C     
03683.040.000.00.00;RAINHA MARGARIDA BONITA WHITE 040 C     
03678.060.000.00.00;RAINHA MARGARIDA BLUE 060 CM            
03678.050.000.00.00;RAINHA MARGARIDA BLUE 050 CM            
21400.070.000.00.00;RAINHA MARGARIDA OPTIMO DEEP PURPLE     
21400.060.000.00.00;RAINHA MARGARIDA OPTIMO DEEP PURPLE     
21400.050.000.00.00;RAINHA MARGARIDA OPTIMO DEEP PURPLE     
21400.040.000.00.00;RAINHA MARGARIDA OPTIMO DEEP PURPLE     
21401.070.000.00.00;RAINHA MARGARIDA BONITA ROSE 070 CM     
21401.060.000.00.00;RAINHA MARGARIDA BONITA ROSE 060 CM     
21401.050.000.00.00;RAINHA MARGARIDA BONITA ROSE 050 CM     
21401.040.000.00.00;RAINHA MARGARIDA BONITA ROSE 040 CM     
01580.040.000.00.00;RAINHA MARGARIDA VARIADO 040            
21392.000.000.00.00;FOLHAGEM ANTHURIUM CRYSTALLINUM         
03222.009.000.00.00;PEPEROMIA P09 VARIADO                   
01107.221.000.00.00;LAVANDULA ANGUSTIFOLIA C21              
03673.999.000.06.00;GIRASSOL MACO 6 HASTES                  
21391.070.000.00.00;RAINHA MARGARIDA OPTIMO RED 070 CM      
21391.060.000.00.00;RAINHA MARGARIDA OPTIMO RED 060 CM      
21391.050.000.00.00;RAINHA MARGARIDA OPTIMO RED 050 CM      
21391.040.000.00.00;RAINHA MARGARIDA OPTIMO RED 040 CM      
21390.070.000.00.00;RAINHA MARGARIDA FUJIMI PURPLE 070      
21390.060.000.00.00;RAINHA MARGARIDA FUJIMI PURPLE 060      
21390.050.000.00.00;RAINHA MARGARIDA FUJIMI PURPLE 050      
21390.040.000.00.00;RAINHA MARGARIDA FUJIMI PURPLE 040      
06188.070.000.00.00;RAINHA MARGARIDA BONITA SCARLET 070     
06188.060.000.00.00;RAINHA MARGARIDA BONITA SCARLET 060     
06188.050.000.00.00;RAINHA MARGARIDA BONITA SCARLET 050     
06188.040.000.00.00;RAINHA MARGARIDA BONITA SCARLET 040     
03681.070.000.00.00;RAINHA MARGARIDA FUJIMI CORAL ROSE 070  
03681.060.000.00.00;RAINHA MARGARIDA FUJIMI CORAL ROSE 060  
03681.050.000.00.00;RAINHA MARGARIDA FUJIMI CORAL ROSE 050  
03681.040.000.00.00;RAINHA MARGARIDA FUJIMI CORAL ROSE 040  
01580.070.000.00.00;RAINHA MARGARIDA 070 CM                 
01580.060.000.00.00;RAINHA MARGARIDA 060 CM                 
01580.050.000.00.00;RAINHA MARGARIDA 050 CM                 
00482.070.000.00.00;GIRASSOL 070 CM                         
00482.060.000.00.00;GIRASSOL 060 CM                         
00482.050.000.00.00;GIRASSOL 050 CM                         
00482.040.000.00.00;GIRASSOL 040 CM                         
21375.024.000.00.00;ANTHURIUM EXTASE P24                    
03673.050.000.03.00;MACO GIRASSOL 050 CM MIN 3 HT           
21270.017.000.00.00;ANTHURIUM CRYSTALLINUM P17              
21386.070.000.00.00;ASTER NINA PURPLE 070 CM                
21386.060.000.00.00;ASTER NINA PURPLE 060 CM                
21386.050.000.00.00;ASTER NINA PURPLE 050 CM                
21386.040.000.00.00;ASTER NINA PURPLE 040 CM                
21386.030.000.00.00;ASTER NINA PURPLE 030 CM                
